Mud Wt. In (ppg),Mud Wt. Out  (ppg),Temp Out deg °F,Funnel Viscosity ,Fann 600 rpm,Fann 300 rpm,Fann 200 rpm,Fann 100 rpm,Fann 6 rpm,Fann 3 rpm,n,K,API Fluid Loss (ml),Cake mm,Water % ,Retort Solids  % 
8.6,,,95,74,56,48,40,23,17,0.4,2.3,17,2,97,3
8.6,,,95,74,56,48,40,23,17,0.4,2.3,17,2,97,3
8.6,,,95,74,56,48,40,23,17,0.4,2.3,17,2,97,3
8.6,,,95,74,56,48,40,23,17,0.4,2.3,17,2,97,3
8.6,,,95,74,56,48,40,23,17,0.4,2.3,17,2,97,3
,,,,,,,,,,,,,,,
8.6,,,98,77,58,47,39,22,18,0.4,2.3,17,2,97,3
8.6,,,98,77,58,47,39,22,18,0.4,2.3,17,2,97,3
8.6,,,96,76,58,45,39,22,,0.4,2.3,17,2,97,3
8.6,,,98,77,58,47,39,22,18,0.4,2.3,17,2,97,3
8.6,,,98,77,58,47,39,22,18,0.4,2.3,17,2,97,3
8.6,,,98,77,58,47,39,22,18,0.4,2.3,17,2,97,3
8.6,,,98,77,58,47,39,22,18,0.4,2.3,17,2,97,3
8.6,,,98,77,58,47,39,22,18,0.4,2.3,17,2,97,3
8.6,8.7,,98,77,58,47,39,22,18,0.4,2.3,17,2,97,3
8.7,8.8,,70,65,48,43,35,18,12,0.4,1.6,15,2,96,4
8.6,8.6,,65,63,49,40,31,17,13,0.4,2.6,13,1,97,3
8.6,8.6,95,65,63,49,40,31,17,13,0.4,2.6,10,1,97,3
8.8,8.8,96,65,63,49,40,31,17,13,0.4,2.6,10,1,95,2
8.8,8.8,96,60,62,44,38,30,15,11,0.5,1,6,1,95,2
8.8,8.8,98,60,62,44,38,30,15,11,0.5,1,6,1,95,2
8.9,8.9,99,61,62,45,40,29,16,12,0.5,1.3,5.6,1,95,2
8.9,8.9,100,67,64,45,42,31,17,14,0.5,1,5.5,1,95,2
8.9,8.9,101,65,64,45,42,31,17,14,0.5,,5.5,1,95,2
9,9,103,65,64,45,42,31,17,14,0.5,1,5.5,1,95,2
9,,,65,64,45,42,31,17,14,0.5,1,5.5,1,95,2
9,,,65,64,45,42,31,17,14,0.5,1,5.5,1,95,2
9,,,65,64,45,42,31,17,14,0.5,1,5.5,1,95,2
9,9,,65,64,45,42,31,17,14,0.5,1,5.5,1,95,2
9,9,102,65,64,45,42,31,17,14,0.5,1,5.5,1,94,2
9.1,9.1,104,58,57,45,42,30,17,13,0.3,2.6,5,1,94,2
9.1,9.1,108,58,56,44,43,31,16,13,0.3,2.6,5,1,94,2
9.1,9.1,112,54,56,44,43,31,16,13,0.3,2.7,5,1,94,2
9.1,9.1,114,54,57,45,42,30,17,13,0.3,2.7,5,1,94,2
9.1,9.1,116,52,56,45,42,31,17,13,0.3,3.2,5,1,94,2
9.1,9.2,113,52,56,45,42,31,17,13,0.3,,4,1,94,2
9.2,9.2,113,51,54,45,42,31,17,13,0.3,4.5,4,1,94,2
9.2,9.2,114,51,55,43,41,31,16,13,0.4,2.4,4,1,94,2
9.2,9.2,116,50,55,43,41,31,16,13,0.4,2.5,4,1,94,2
9.2,9.2,117,50,54,45,41,31,16,13,0.3,4.5,4,1,94,2
9.2,9.3,118,50,54,43,40,30,16,13,0.3,2.8,4,1,94,2
9.2,,,50,54,43,40,30,16,13,0.3,,4,1,94,2
9.2,,,50,54,45,41,31,16,13,0.3,4.5,4,1,94,2
9.2,,,50,54,43,40,30,16,13,0.3,2.8,4,1,94,2
9.2,,,50,54,45,41,31,16,13,0.3,,4,1,94,2
9.2,,,50,54,45,41,31,16,13,0.3,4.5,4,1,94,2
9.2,,,50,54,43,40,30,16,13,0.3,2.8,4,1,94,2
8.7,8.7,,100,90,70,62,50,20,15,0.4,,4,1,98,2
8.7,8.8,,90,85,63,51,31,16,10,0.4,2.2,6,1,97,3
8.8,8.8,,80,82,61,50,30,15,10,0.4,2.2,6,1,97,3
8.8,8.8,,80,82,61,50,30,15,10,0.4,,6,1,97,3
8.7,,,80,82,61,50,30,15,10,0.4,2.2,6,1,97,3
8.7,8.7,,75,70,58,45,30,20,15,0.3,5.5,5,1,98,2
8.8,8.8,,75,55,45,35,25,20,15,0.3,3.8,4,1,94,5
9,9,,70,52,42,31,25,15,11,0.3,3.1,4,1,94,5
9.2,9.2,,68,52,41,32,25,16,15,0.3,2.5,3,1,94,5
9.2,9.2,,76,52,41,32,25,16,15,0.3,,3,1,93,6
9.2,9.2,,76,52,41,32,25,16,15,0.3,2.5,3,1,93,6
9.2,9.2,,70,50,40,30,25,18,16,0.3,2.7,3,1,92,6
8.7,8.7,,80,75,45,34,24,16,12,0.7,0.2,7,1,86,14
8.7,8.8,,87,80,47,37,27,17,13,0.8,0.2,7,1,86,14
8.7,8.8,,82,73,43,35,24,16,12,0.8,0.2,7,1,86,14
8.8,8.8,,68,78,47,37,27,17,13,0.7,0.3,5,1,86,14
8.8,8.8,,63,77,47,37,27,17,13,0.7,0.3,5,1,86,14
8.8,8.8,,64,76,48,37,26,17,13,0.7,0.4,4.5,1,86,14
8.8,8.8,,64,76,48,37,26,17,13,0.7,0.4,5,1,85,13
8.8,8.8,,64,76,48,37,26,17,13,0.7,0.4,5,1,85,13
8.8,8.8,,64,76,48,37,26,17,13,0.7,0.4,4.5,1,85,13
8.9,8.9,,64,80,49,36,26,17,13,0.7,0.3,4.5,1,85,13
8.9,8.9,,68,81,48,37,26,17,13,0.8,0.2,4,1,85,13
8.9,8.9,,65,79,48,37,26,17,13,0.7,0.3,4,1,85,13
8.9,8.9,,68,81,48,37,26,17,13,0.8,0.2,4,1,85,13
8.9,8.9,,68,81,48,37,26,17,13,0.8,0.2,4,1,85,13
8.9,8.9,,65,79,48,37,26,17,13,0.7,0.3,4,1,85,13
8.9,,,67,81,48,37,26,17,13,0.8,0.2,4,1,85,13
8.9,,,66,80,47,35,25,16,13,0.8,0.2,4,1,85,13
8.9,,,65,78,47,36,26,16,13,0.7,0.3,4,1,85,13
8.9,,,41,54,35,28,18,11,7,0.6,0.4,4,1,85,13
8.9,,,41,54,35,28,18,11,7,0.6,0.4,4,1,85,13
8.9,,,41,54,35,28,18,11,7,0.6,0.4,4,1,85,13
8.9,,,41,54,35,28,18,11,7,0.6,0.4,4,1,85,13
8.9,,,41,54,35,28,18,11,7,0.6,0.4,4,1,85,13
8.9,,,41,54,35,28,18,11,7,0.6,0.4,4,1,85,13
8.7,8.7,75,100,80,60,55,45,19,17,0.4,2.3,7,1,94,6
8.7,8.7,83,98,76,57,52,41,18,16,0.4,2.2,6,1,94,6
8.7,8.7,83,98,76,57,52,41,18,16,0.4,2.2,6,1,94,6
8.7,8.7,96,88,67,50,48,34,15,10,0.4,,6,1,95,5
8.7,8.7,96,98,76,57,52,41,18,16,0.4,2.2,6,1,95,5
8.7,8.7,90,98,76,57,52,41,18,16,0.4,2.2,6,1,95,5
8.7,,,65,62,45,41,38,16,14,0.5,0.9,6,1,96,4
8.7,,,63,61,43,40,37,16,14,0.5,0.9,6,1,96,4
8.7,8.7,89,98,77,56,43,35,17,15,0.5,1.6,6,1,96,4
8.7,8.7,,64,62,43,41,37,16,14,0.5,1.1,6,1,96,4
8.7,8.7,,66,63,45,42,36,17,14,0.5,1.1,6,1,96,4
8.7,8.7,,68,65,47,42,36,17,14,0.5,1.3,7,1,96,4
8.8,8.8,99,66,63,45,42,35,16,14,,1.2,5,1,94,6
8.8,8.8,102,67,64,46,42,36,17,14,0.5,1.2,4,1,94,4
8.8,8.8,113,67,64,46,42,36,17,14,0.5,1.2,5.5,1,95,5
8.8,8.8,120,68,65,47,42,34,16,14,0.5,1.4,4,1,94,4
8.8,8.8,123,68,66,48,43,37,17,14,0.5,1.4,4,1,94,4
8.8,8.8,126,75,72,53,45,38,16,14,0.4,1.7,4,1,94,4
8.8,8.8,115,75,72,53,45,38,16,14,0.5,1.7,4,1,94,4
8.8,,,75,72,53,45,38,16,14,0.4,1.7,4,1,94,4
8.8,,,75,72,53,45,38,16,14,0.4,1.7,4,1,94,4
8.8,,,75,72,53,45,38,16,14,0.5,1.7,6,1,94,4
8.8,,,75,72,53,45,38,16,14,0.4,1.7,6,1,94,4
8.8,,,73,60,43,45,38,16,14,0.5,1.1,5,1,94,4
8.9,,,73,60,43,45,38,16,14,0.5,,5,1,94,4
